time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-10-02,63,24.5,11902.69,28.3,22.9,14.30,10.0,14.2,253,11.40
2025-10-03,63,26.6,38739.32,32.4,21.4,8.20,4.0,11.6,177,22.38
2025-10-04,51,27.4,37080.88,33.2,23.0,0.80,3.0,12.9,161,23.72
2025-10-05,61,26.1,36000.00,32.3,22.3,2.20,3.0,8.6,174,22.20
2025-10-06,51,27.0,36629.17,33.2,21.5,0.10,1.0,19.5,80,22.45
2025-10-07,65,25.0,38419.98,31.6,21.7,19.60,5.0,21.9,270,21.24
2025-10-08,53,26.6,40397.96,32.2,22.2,1.10,3.0,12.5,175,23.76
2025-10-09,53,26.8,41100.49,33.5,22.0,1.90,8.0,13.0,182,24.75
2025-10-10,51,27.0,39940.95,33.1,21.4,1.40,7.0,10.0,116,23.95
2025-10-11,51,27.9,37817.45,33.5,23.5,0.30,3.0,10.5,145,23.83
2025-10-12,51,28.2,41114.08,34.5,22.9,0.10,1.0,17.9,123,24.47
2025-10-13,63,27.4,39600.00,35.0,22.8,8.20,4.0,21.3,112,22.68
2025-10-14,53,27.8,41355.46,34.5,23.0,2.20,5.0,16.4,111,22.69
2025-10-15,53,27.7,40891.70,33.8,23.2,3.40,8.0,12.2,66,22.38
2025-10-16,51,28.7,37633.04,35.8,24.2,0.20,1.0,19.4,99,23.42
2025-10-17,63,27.0,39600.00,35.5,23.2,5.20,9.0,19.7,160,19.92
2025-10-18,53,27.2,39911.05,32.0,24.1,2.10,5.0,11.0,82,22.81
2025-10-19,55,27.7,36969.55,32.8,23.0,2.10,6.0,8.4,118,22.37
2025-10-20,53,27.8,40907.67,33.5,23.7,2.00,10.0,12.6,87,22.97
2025-10-21,53,27.8,37455.29,33.5,23.6,1.40,3.0,9.8,203,22.18
2025-10-22,61,27.0,28125.73,31.9,23.8,14.40,12.0,12.9,198,15.86
2025-10-23,61,26.2,18413.16,32.2,23.7,12.10,17.0,14.5,217,13.83
2025-10-24,65,25.3,17287.95,30.0,23.6,36.20,16.0,13.9,216,11.87
